package,version,released,index,text
survival,3.2-12,2021-08-13,2,The df column from cox.zph could be incorrect for a coxme model.
survival,3.2-12,2021-08-13,3,cox.zph would crash for a coxme model whose random effect contained a factor (odd issue with model.frame).
survival,3.2-12,2021-08-13,4,yates error for a coxph model with a strata * covariate interaction
survival,3.2-12,2021-08-13,5,Clarify documentation for the royston command.
survival,3.2-12,2021-08-13,6,Add error for survexp applied to a multistate model.
survival,3.2-12,2021-08-13,7,"Make the labeling of restricted mean consistent in print and summary, for single state and multistate survfit."
survival,3.2-12,2021-08-13,8,With just the right data the coxexact.c routine would do a very inefficient calculation: so slow it appeared to be an infinite loop.
survival,3.2-12,2021-08-13,9,Bug in pspline.R: I had neglected to include 'degree' in the retained arguments for makepredictcall.
survival,3.2-12,2021-08-13,10,"Fix scale factor error in cholesky3.c, which could cause it to incorrectly mark a column as singular. Found via a survreg example from Nathan Adams, where y had large values."
survival,3.2-12,2021-08-13,11,2021-08-12: update CRAN
survival,3.2-11,2021-04-26,1,"Missing labels for the ""pairwise"" option in yates(), fixed."
survival,3.2-11,2021-04-26,2,Bug in plot.survfit -- could not use conf.int=T and xmax in the same call. Pointed out by Dirk Larson.
survival,3.2-11,2021-04-26,3,"Failure of survfit, when applied to a multi-state coxph model with strata(). Repaired and added this as a test case."
survival,3.2-11,2021-04-26,4,"Change seq(along= to seq(along.with=, to match the complete argument name."
survival,3.2-11,2021-04-26,5,"In pyears(...,data.frame=TRUE), if the levels of a tcut are numeric return a numeric rather than a factor. (Version 2.4 feature that had been inadvertently removed.)"
survival,3.2-11,2021-04-26,6,"Fix mistake in survfit.coxphms(..., stype=1): had pmin when I meant pmax. (Resulting curves were not even close.) Add a test case."
survival,3.2-11,2021-04-26,7,"update anova.survreg to have class(""anova"", ""data.table""). Error pointed out by Daniel Sjoberg."
survival,3.2-10,2021-03-16,1,CRAN valgrind checks discovered an uninitialized vector in one of the C routines. Now fixed. Updated version is now on CRAN.
survival,3.2-9,2021-03-14,1,More careful tests of the rttright function.
survival,3.2-9,2021-03-14,2,Fix bug in tmerge that was introduced in 3.2-8. A new consistency check was too aggressive and would flag a legal dataset.
survival,3.2-9,2021-03-14,3,"Fix tmerge bug reported by E Lundt: if two or more additions were before the start of a subject's timeline, tdc would pick the first rather than the last. sou"
survival,3.2-9,2021-03-14,4,"Add the last test case for residuals.survfit (auc for tstart, tstop data), and yes, it uncovered an error."
survival,3.2-9,2021-03-14,5,"Error in survit.coxph for a multistate fit with strata, an array dimension was wrong (but contents correct). It led to downstream problems with print and plot. Pointed out by Matthew Hall."
survival,3.2-9,2021-03-14,6,Add ability for a multistate coxph model to have shared (proportional) baselines for transitions.
survival,3.2-9,2021-03-14,7,"The coxph routine no longer recenters 0/1 predictors (fit$mean will be 0), per the default value of the new nocenter argument. Application of survfit to a coxph model without specifying newdata remains a bad idea, but this change makes it a little less bad since for factors the curve will refer to the reference level. The results of predict(fit) are now more defensible for a factor variable."
survival,3.2-9,2021-03-14,8,"Add an explicit error message for survreg() with a frailty term. This usage was never supported -- it is integrating out the appropriate density for a coxph model, which is the wrong one for survreg -- but because the code would run we've found that people assumed it must be right, despite a statement to the contrary in the survival vignette. Long overdue fix."
survival,3.2-8,,1,"In tmerge, if data2 contains identifiers not found in data1 these rows are now counted in the ""missid"" column of the tcount attribute, rather than treated as an error."
survival,3.2-8,,2,"In a survfit() call with the start.time option, if one curve had no subjects past the start time the dim of the result was wrong, leading to multiple downstream failures."
survival,3.2-8,,3,Add a scale argument to quantile.survfit.
survival,3.2-8,,4,"Revert a change to plot.survfit, which was the use of clip() to keep lines away from the right margin. This had some unforseen downstream consequences, e.g., later addition of a legend."
survival,3.2-8,,5,Minor fix to survcheck: if the events table had only 1 row the matrix property was lost. Pointed out by Oleguer Plana-Ripoll.
survival,3.2-8,,6,"Error in plot.survfit: the noplot argument had been overlooked for the confidence intervals, and the wrong interval could be matched to each curve."
survival,3.2-8,,7,"The neardate routine implicitly assumed that data set 2 was in sorted order, if it is not an error message ensues from the internal call to findInterval. Now repaired and a new test added. Pointed out by Bruce Macwilliams."
survival,3.2-8,,8,Add an error message to survfit recognizing that it can not yet deal with multistate coxph models that have shared baseline hazards.
survival,3.2-8,,9,Add the pseudo function for psuedo-values. The vignette is in vignette2 since it uses svyglm (survey) to get proper standard errors (see the 'other' vignette). Add supporting routine residuals.survfit (which does the real work.)
survival,3.2-8,,10,Add the nsk function.
survival,3.2-8,,11,Add the aggregate.survfit method
survival,3.2-8,,12,"Formally depricate survConcordance, replaced with the more capable concordance method which has formula, lm, glm, and coxph methods."
